corpus_size,retrieval_type,repeat,chunk_ms,index_ms,total_cold_ms,n_chunks,model_load_ms,encode_ms
1000,bm25,0,16.18733402574435,26.066249993164092,42.25358401890844,1016,0.0,
1000,dense,0,14.505084021948278,,3951.9936249707825,1016,1275.7507920032367,2676.242832967546
1000,bm25,1,14.223208010662347,27.57016703253612,41.793375043198466,1016,0.0,
1000,dense,1,14.066541974898428,,3258.8892499916255,1016,1275.7507920032367,1983.1384579883888
1000,bm25,2,18.754999968223274,28.63908401923254,47.394083987455815,1016,0.0,
1000,dense,2,15.00533299986273,,3190.216667018831,1016,1275.7507920032367,1914.465875015594
1000,bm25,3,18.529208027757704,30.261874955613166,48.79108298337087,1016,0.0,
1000,dense,3,14.803208003286272,,3188.957042002585,1016,1275.7507920032367,1913.206249999348
1000,bm25,4,14.363791968207806,27.009250014089048,41.373041982296854,1016,0.0,
1000,dense,4,14.823334000539035,,3172.101875010412,1016,1275.7507920032367,1896.3510830071755
2500,bm25,0,37.347083969507366,68.92787502147257,106.27495899097994,2539,0.0,
2500,dense,0,37.39612502977252,,7226.002957962919,2539,1275.7507920032367,5950.252165959682
2500,bm25,1,37.78395801782608,67.59545800741762,105.3794160252437,2539,0.0,
2500,dense,1,37.714999984018505,,6116.928626026493,2539,1275.7507920032367,4841.177834023256
2500,bm25,2,40.18904099939391,67.21312500303611,107.40216600243002,2539,0.0,
2500,dense,2,38.52300002472475,,6090.1675839559175,2539,1275.7507920032367,4814.416791952681
2500,bm25,3,68.72325000585988,67.32833402929828,136.05158403515816,2539,0.0,
2500,dense,3,37.41229203296825,,6103.90066698892,2539,1275.7507920032367,4828.149874985684
2500,bm25,4,39.37500005122274,61.332124983891845,100.70712503511459,2539,0.0,
2500,dense,4,35.67483299411833,,5905.639083997812,2539,1275.7507920032367,4629.888291994575
5000,bm25,0,70.83729194710031,129.83325001550838,200.6705419626087,5095,0.0,
5000,dense,0,71.94412499666214,,11946.430457988754,5095,1275.7507920032367,10670.679665985517
5000,bm25,1,76.12108398461714,133.1029160064645,209.22399999108166,5095,0.0,
5000,dense,1,76.04433299275115,,11011.670626001433,5095,1275.7507920032367,9735.919833998196
5000,bm25,2,77.25337496958673,133.31145799020305,210.56483295978978,5095,0.0,
5000,dense,2,76.29220798844472,,11067.151417024434,5095,1275.7507920032367,9791.400625021197
5000,bm25,3,76.46670797839761,134.9659170373343,211.4326250157319,5095,0.0,
5000,dense,3,100.6491250009276,,11098.050667031202,5095,1275.7507920032367,9822.299875027966
5000,bm25,4,76.91679196432233,121.53558304999024,198.45237501431257,5095,0.0,
5000,dense,4,74.33195901103318,,11038.25120802503,5095,1275.7507920032367,9762.500416021794
10000,bm25,0,151.61333297146484,272.05137501005083,423.6647079815157,10199,0.0,
10000,dense,0,149.40112497424707,,22756.442875019275,10199,1275.7507920032367,21480.692083016038
10000,bm25,1,149.8399160336703,258.90683400211856,408.74675003578886,10199,0.0,
10000,dense,1,150.06491699023172,,21188.03720897995,10199,1275.7507920032367,19912.286416976713
10000,bm25,2,147.56104099797085,247.80995899345726,395.3709999914281,10199,0.0,
10000,dense,2,155.06254200590774,,21130.72291703429,10199,1275.7507920032367,19854.972125031054
10000,bm25,3,147.28870801627636,246.7346249613911,394.02333297766745,10199,0.0,
10000,dense,3,152.283666015137,,21072.566958959214,10199,1275.7507920032367,19796.816166955978
10000,bm25,4,149.4440829847008,251.45504204556346,400.89912503026426,10199,0.0,
10000,dense,4,152.6920420001261,,21008.019750006497,10199,1275.7507920032367,19732.26895800326
25000,bm25,0,391.9989580172114,558.1895000068471,950.1884580240585,25496,0.0,
25000,dense,0,366.194375033956,,48994.989250961225,25496,1275.7507920032367,47719.23845895799
25000,bm25,1,373.39958298252895,695.8364999736659,1069.2360829561949,25496,0.0,
25000,dense,1,380.5349160102196,,49259.57937602652,25496,1275.7507920032367,47983.828584023286
25000,bm25,2,380.7064580032602,611.5157920285128,992.222250031773,25496,0.0,
25000,dense,2,373.2188750291243,,49102.13933396153,25496,1275.7507920032367,47826.388541958295
25000,bm25,3,381.27974997041747,616.2665410083719,997.5462909787893,25496,0.0,
25000,dense,3,411.95041697937995,,49375.45654200949,25496,1275.7507920032367,48099.70575000625
25000,bm25,4,376.9822080503218,604.2066249647178,981.1888330150396,25496,0.0,
25000,dense,4,376.71575002605096,,48997.59716697736,25496,1275.7507920032367,47721.84637497412
50000,bm25,0,755.161417007912,1204.2086659930646,1959.3700830009766,50986,0.0,
50000,dense,0,801.8859999720007,,96845.2247090172,50986,1275.7507920032367,95569.47391701397
50000,bm25,1,748.1647090171464,1244.138666021172,1992.3033750383183,50986,0.0,
50000,dense,1,773.2322909869254,,96354.35012599919,50986,1275.7507920032367,95078.59933399595
50000,bm25,2,738.0144170019776,1257.905957987532,1995.9203749895096,50986,0.0,
50000,dense,2,731.1002919450402,,95740.8716250211,50986,1275.7507920032367,94465.12083301786
50000,bm25,3,737.7108749933541,1240.735459025018,1978.446334018372,50986,0.0,
50000,dense,3,732.398749969434,,96578.70116701815,50986,1275.7507920032367,95302.95037501492
50000,bm25,4,777.9588749981485,1344.477167003788,2122.4360420019366,50986,0.0,
50000,dense,4,751.1606250191107,,95259.52941703144,50986,1275.7507920032367,93983.77862502821
